domain,trial_type,alpha,alpha_ci_lower,alpha_ci_upper,n,trials_per_block,response_option_locations,parts,yi,vi,between_trial_type_differences
Shapes & colors (5),tt4,-0.196628621,-0.557654801,0.340164755,22,24,Moving,2,-0.179508121,0.2,FALSE
Shapes & colors (6),tt1,0.147320275,-0.306580755,0.556990146,27,24,Moving,2,0.159371271,0.16,FALSE
Shapes & colors (6),tt2,-0.012724576,-0.447762524,0.441510708,27,24,Moving,2,-0.012644299,0.16,FALSE
Shapes & colors (6),tt3,-0.035722605,-0.445278604,0.426835546,27,24,Moving,2,-0.035099352,0.16,FALSE
Shapes & colors (6),tt4,0.234349582,-0.198275302,0.617537923,27,24,Moving,2,0.267029586,0.16,FALSE
Shapes & colors (7),tt1,0.020081836,-0.523526931,0.606848412,14,24,Moving,2,0.020286217,0.333333333,FALSE
Shapes & colors (7),tt2,-0.193245806,-0.636792167,0.489275827,14,24,Moving,2,-0.176677162,0.333333333,FALSE
Shapes & colors (7),tt3,0.145294126,-0.496739852,0.675101128,14,24,Moving,2,0.156997876,0.333333333,FALSE
Shapes & colors (7),tt4,0.625845097,0.178756235,0.870316049,14,24,Moving,2,0.983085389,0.333333333,FALSE
Stigma - ADHD,tt1,0.53587223,0.363926378,0.69135373,59,32,Moving,2,0.767595399,0.070175439,FALSE
Stigma - ADHD,tt2,0.280580451,-0.030250235,0.539451326,59,32,Moving,2,0.329310574,0.070175439,FALSE
Stigma - ADHD,tt3,0.082311561,-0.232282346,0.379460317,59,32,Moving,2,0.085897337,0.070175439,FALSE
Stigma - ADHD,tt4,0.410435206,0.167885394,0.600411265,59,32,Moving,2,0.528370651,0.070175439,FALSE
Stigma - PTSD,tt1,0.477211585,0.236040117,0.654799248,57,32,Moving,2,0.648578458,0.072727273,FALSE
Stigma - PTSD,tt2,0.393454933,0.142123084,0.599668719,57,32,Moving,2,0.499976246,0.072727273,FALSE
Stigma - PTSD,tt3,0.237737498,-0.070589013,0.496047065,57,32,Moving,2,0.271464292,0.072727273,FALSE
Stigma - PTSD,tt4,0.127681932,-0.158275361,0.39205157,57,32,Moving,2,0.136601165,0.072727273,FALSE
Stigma - Schizophrenia,tt1,0.058946737,-0.273395102,0.375207155,51,32,Moving,2,0.060755538,0.081632653,FALSE
Stigma - Schizophrenia,tt2,0.387749838,0.107720284,0.605225205,51,32,Moving,2,0.490614319,0.081632653,FALSE
Stigma - Schizophrenia,tt3,0.511183236,0.266979847,0.68800005,51,32,Moving,2,0.715767575,0.081632653,FALSE
Stigma - Schizophrenia,tt4,0.438087377,0.203032837,0.642266489,51,32,Moving,2,0.576408916,0.081632653,FALSE
Valenced words,tt1,0.503702439,0.242636407,0.697341015,41,24,Fixed,2,0.700579611,0.102564103,FALSE
Valenced words,tt2,0.351607099,0.0486219,0.601898383,41,24,Fixed,2,0.433258437,0.102564103,FALSE
Valenced words,tt3,0.346124825,0.050110021,0.587569535,41,24,Fixed,2,0.42483881,0.102564103,FALSE
Valenced words,tt4,0.52281569,0.29829398,0.708939755,41,24,Fixed,2,0.739852468,0.102564103,FALSE
